"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14";"LED_WS2812B-2020_PLCC4_2.0x2.0mm";14;"WS2812B-2020";;;
2;"TP1, TP2, TP3, TP4";"TestPoint_Pad_4.0x4.0mm";4;"TestPoint";;;
