"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3";"C_0402_1005Metric";1;"100nF";;;
2;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
3;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
4;"R1";"R_0402_1005Metric";1;"1k";;;
5;"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8";"TestPoint_Pad_3.0x3.0mm";8;"TestPoint";;;
6;"U2";"QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias";1;"CH32V003FxUx";;;
